1,Wii Sports,WII,2006,SPORTS,Nintendo
2,Super Mario Bros.,NES,1985,PLATFORM,Nintendo
3,Mario Kart Wii,WII,2008,RACING,Nintendo
4,Wii Sports Resort,WII,2009,SPORTS,Nintendo
5,Pokemon Red/Pokemon Blue,GB,1996,ROLE-PLAYING,Nintendo
6,Tetris,GB,1989,PUZZLE,Nintendo
7,New Super Mario Bros.,DS,2006,PLATFORM,Nintendo
8,Wii Play,WII,2006,MISC,Nintendo
9,New Super Mario Bros. Wii,WII,2009,PLATFORM,Nintendo
10,Duck Hunt,NES,1984,SHOOTER,Nintendo
11,Nintendogs,DS,2005,SIMULATION,Nintendo
12,Mario Kart DS,DS,2005,RACING,Nintendo
13,Pokemon Gold/Pokemon Silver,GB,1999,ROLE-PLAYING,Nintendo
14,Wii Fit,WII,2007,SPORTS,Nintendo
15,Wii Fit Plus,WII,2009,SPORTS,Nintendo
16,Kinect Adventures!,X360,2010,MISC,Microsoft Game Studios
17,Grand Theft Auto V,PS3,2013,ACTION,Take-Two Interactive
18,Grand Theft Auto: San Andreas,PS2,2004,ACTION,Take-Two Interactive
19,Super Mario World,SNES,1990,PLATFORM,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,MISC,Nintendo
21,Pokemon Diamond/Pokemon Pearl,DS,2006,ROLE-PLAYING,Nintendo
22,Super Mario Land,GB,1989,PLATFORM,Nintendo
23,Super Mario Bros. 3,NES,1988,PLATFORM,Nintendo
24,Grand Theft Auto V,X360,2013,ACTION,Take-Two Interactive
25,Grand Theft Auto: Vice City,PS2,2002,ACTION,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,ROLE-PLAYING,Nintendo
27,Pokemon Black/Pokemon White,DS,2010,ROLE-PLAYING,Nintendo
28,Brain Age 2: More Training in Minutes a Day,DS,2005,PUZZLE,Nintendo
29,Gran Turismo 3: A-Spec,PS2,2001,RACING,Sony Computer Entertainment
30,Call of Duty: Modern Warfare 3,X360,2011,SHOOTER,Activision
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,ROLE-PLAYING,Nintendo
32,Call of Duty: Black Ops,X360,2010,SHOOTER,Activision
33,Pokemon X/Pokemon Y,3DS,2013,ROLE-PLAYING,Nintendo
34,Call of Duty: Black Ops 3,PS4,2015,SHOOTER,Activision
35,Call of Duty: Black Ops II,PS3,2012,SHOOTER,Activision
36,Call of Duty: Black Ops II,X360,2012,SHOOTER,Activision
37,Call of Duty: Modern Warfare 2,X360,2009,SHOOTER,Activision
38,Call of Duty: Modern Warfare 3,PS3,2011,SHOOTER,Activision
39,Grand Theft Auto III,PS2,2001,ACTION,Take-Two Interactive
40,Super Smash Bros. Brawl,WII,2008,FIGHTING,Nintendo
41,Call of Duty: Black Ops,PS3,2010,SHOOTER,Activision
42,Animal Crossing: Wild World,DS,2005,SIMULATION,Nintendo
43,Mario Kart 7,3DS,2011,RACING,Nintendo
44,Halo 3,X360,2007,SHOOTER,Microsoft Game Studios
45,Grand Theft Auto V,PS4,2014,ACTION,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,ACTION,Nintendo
47,Super Mario 64,N64,1996,PLATFORM,Nintendo
48,Gran Turismo 4,PS2,2004,RACING,Sony Computer Entertainment
49,Super Mario Galaxy,WII,2007,PLATFORM,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,ROLE-PLAYING,Nintendo
51,Super Mario Land 2: 6 Golden Coins,GB,1992,ADVENTURE,Nintendo
52,Grand Theft Auto IV,X360,2008,ACTION,Take-Two Interactive
53,Gran Turismo,PS,1997,RACING,Sony Computer Entertainment
54,Super Mario 3D Land,3DS,2011,PLATFORM,Nintendo
55,Gran Turismo 5,PS3,2010,RACING,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,PS3,2009,SHOOTER,Activision
57,Grand Theft Auto IV,PS3,2008,ACTION,Take-Two Interactive
58,Super Mario All-Stars,SNES,1993,PLATFORM,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,ROLE-PLAYING,Nintendo
60,Super Mario 64,DS,2004,PLATFORM,Nintendo
61,Just Dance 3,WII,2011,MISC,Ubisoft
62,Call of Duty: Ghosts,X360,2013,SHOOTER,Activision
63,Halo: Reach,X360,2010,SHOOTER,Microsoft Game Studios
64,Mario Kart 64,N64,1996,RACING,Nintendo
65,New Super Mario Bros. 2,3DS,2012,PLATFORM,Nintendo
66,Halo 4,X360,2012,SHOOTER,Microsoft Game Studios
67,Final Fantasy VII,PS,1997,ROLE-PLAYING,Sony Computer Entertainment
68,Call of Duty: Ghosts,PS3,2013,SHOOTER,Activision
69,Just Dance 2,WII,2010,MISC,Ubisoft
70,Gran Turismo 2,PS,1999,RACING,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,X360,2007,SHOOTER,Activision
72,Donkey Kong Country,SNES,1994,PLATFORM,Nintendo
73,Minecraft,X360,2013,MISC,Microsoft Game Studios
74,Animal Crossing: New Leaf,3DS,2012,SIMULATION,Nintendo
75,Mario Party DS,DS,2007,MISC,Nintendo
76,The Elder Scrolls V: Skyrim,X360,2011,ROLE-PLAYING,Bethesda Softworks
77,Super Mario Kart,SNES,1992,RACING,Nintendo
78,FIFA 16,PS4,2015,SPORTS,Electronic Arts
79,Wii Party,WII,2010,MISC,Nintendo
80,Halo 2,XB,2004,SHOOTER,Microsoft Game Studios
81,Mario Party 8,WII,2007,MISC,Nintendo
82,Pokemon Black 2/Pokemon White 2,DS,2012,ROLE-PLAYING,Nintendo
83,FIFA Soccer 13,PS3,2012,ACTION,Electronic Arts
84,The Sims 3,PC,2009,SIMULATION,Electronic Arts
85,GoldenEye 007,N64,1997,SHOOTER,Nintendo
86,Mario & Sonic at the Olympic Games,WII,2007,SPORTS,Sega
87,Final Fantasy X,PS2,2001,ROLE-PLAYING,Sony Computer Entertainment
88,Final Fantasy VIII,PS,1999,ROLE-PLAYING,SquareSoft
89,Pokémon Platinum Version,DS,2008,ROLE-PLAYING,Nintendo
90,Pac-Man,2600,1982,PUZZLE,Atari
91,Grand Theft Auto: Liberty City Stories,PSP,2005,ACTION,Take-Two Interactive
92,Super Mario Galaxy 2,WII,2010,PLATFORM,Nintendo
93,Star Wars Battlefront (2015),PS4,2015,SHOOTER,Electronic Arts
94,Call of Duty: Advanced Warfare,PS4,2014,SHOOTER,Activision
95,The Legend of Zelda: Ocarina of Time,N64,1998,ACTION,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,PLATFORM,Sony Computer Entertainment
